deg hall1 accelX accelY
0 -31457 0.00 -1.26
0 23593 0.00 -1.26
0 -10486 0.00 -1.24
0 -20972 0.00 -1.25
0 -31457 0.00 -1.25
0 0 0.00 -1.25
0 -31457 0.00 -1.25
0 -10486 0.00 -1.24
0 -10486 0.00 -1.26
0 0 0.00 -1.25
0 -20972 0.00 -1.28
0 -31457 0.00 -1.23
0 -20972 0.00 -1.25
0 0 0.00 -1.25
0 -31457 0.00 -1.25
0 -10486 0.00 -1.24
0 -20972 0.00 -1.27
0 -31457 0.00 -1.24
0 23593 0.00 -1.24
0 0 0.00 -1.24
0 -31457 0.00 -1.24
0 -20972 0.00 -1.24
0 -20972 0.00 -1.25
0 -31457 0.00 -1.25
0 23593 0.00 -1.24
0 -20972 0.00 -1.24
0 -31457 0.00 -1.25
0 -31457 0.00 -1.25
0 -10486 0.00 -1.26
0 -31457 0.00 -1.24
0 13107 0.00 -1.26
0 -20972 0.00 -1.26
0 13107 0.00 -1.23
0 -31457 0.00 -1.24
0 -31457 0.00 -1.24
0 -20972 0.00 -1.25
0 -31457 0.00 -1.24
0 -20972 0.00 -1.26
0 -20972 0.00 -1.25
0 -20972 0.00 -1.25
0 -10486 0.00 -1.25
0 -20972 0.00 -1.24
0 23593 0.00 -1.25
0 -10486 0.00 -1.26
0 0 0.00 -1.24
0 -20972 0.00 -1.23
0 -20972 0.00 -1.25
0 0 0.00 -1.25
0 -31457 0.00 -1.24
0 -10486 0.00 -1.24
0 -20972 0.00 -1.24
0 -31457 0.00 -1.24
0 -20972 0.00 -1.24
0 -10486 0.00 -1.23
0 -31457 0.00 -1.24
0 -10486 0.00 -1.24
0 -20972 0.00 -1.24
0 -10486 0.00 -1.24
0 0 0.00 -1.26
0 -31457 0.00 -1.24
0 -20972 0.00 -1.26
0 -20972 0.00 -1.24
0 -20972 0.00 -1.24
0 -10486 0.00 -1.24
0 -31457 0.00 -1.25
0 -10486 0.00 -1.26
0 0 0.00 -1.24
0 -20972 0.00 -1.26
0 -10486 0.00 -1.23
0 -31457 0.00 -1.25
0 -31457 0.00 -1.24
0 -10486 0.00 -1.24
0 -10486 0.00 -1.26
0 0 0.00 -1.22
0 0 0.00 -1.25
0 -20972 0.00 -1.24
0 -31457 0.00 -1.26
0 -10486 0.00 -1.26
0 -31457 0.00 -1.25
0 -31457 0.00 -1.25
0 0 0.00 -1.24
0 23593 0.00 -1.24
0 -10486 0.00 -1.26
0 -31457 0.00 -1.25
0 -31457 0.00 -1.24
0 -10486 0.00 -1.25
0 0 0.00 -1.22
0 -31457 0.00 -1.25
0 -10486 0.00 -1.25
0 -31457 0.00 -1.27
0 -31457 0.00 -1.25
0 -10486 0.00 -1.25
0 -31457 0.00 -1.25
0 13107 0.00 -1.25
0 -20972 0.00 -1.24
0 -31457 0.00 -1.25
0 0 0.00 -1.25
0 -31457 0.00 -1.25
0 -10486 0.00 -1.24
0 -31457 0.00 -1.26
0 -31457 0.00 -1.23
0 -31457 0.00 -1.26
0 -10486 0.00 -1.24
0 -10486 0.00 -1.25
0 0 0.00 -1.25
0 -20972 0.00 -1.25
0 -10486 0.00 -1.23
0 -31457 0.00 -1.25
0 -10486 0.00 -1.25
0 -20972 0.00 -1.26
0 -10486 0.00 -1.26
0 -10486 0.00 -1.26
0 -10486 0.00 -1.26
0 -10486 0.00 -1.26
0 -20972 0.00 -1.25
0 -31457 0.00 -1.25
0 0 0.00 -1.27
0 -31457 0.00 -1.23
0 -20972 0.00 -1.26
0 -20972 0.00 -1.24
0 -10486 0.00 -1.26
0 -31457 0.00 -1.24
0 -10486 0.00 -1.26
0 -20972 0.00 -1.26
0 -31457 0.00 -1.25
0 -10486 0.00 -1.26
0 -31457 0.00 -1.25
0 -10486 0.00 -1.25
0 -20972 0.00 -1.26
0 0 0.00 -1.26
0 -31457 0.00 -1.24
0 -20972 0.00 -1.25
0 23593 0.00 -1.24
0 -31457 0.00 -1.25
0 0 0.00 -1.23
0 -10486 0.00 -1.23
0 -31457 0.00 -1.24
0 -20972 0.00 -1.26
0 -20972 0.00 -1.23
0 -20972 0.00 -1.24
0 0 0.00 -1.24
0 -31457 0.00 -1.25
0 -31457 0.00 -1.26
0 -31457 0.00 -1.24
0 -20972 0.00 -1.26
0 -10486 0.00 -1.26
0 -20972 0.00 -1.24
0 -31457 0.00 -1.25
0 -20972 0.00 -1.23
0 23593 0.00 -1.26
