deg hall1 accelX accelY
0 -15729 8.03 0.00
0 -15729 8.03 0.00
0 13107 8.02 0.00
0 31457 8.04 0.00
0 2621 8.03 0.00
0 31457 8.03 0.00
0 31457 8.03 0.00
0 -15729 8.03 0.00
0 -15729 8.04 0.00
0 -15729 8.03 0.00
0 2621 8.05 0.00
0 31457 8.04 0.00
0 13107 8.03 0.00
0 2621 8.05 0.00
0 31457 8.04 0.00
0 2621 8.04 0.00
0 31457 8.03 0.00
0 31457 8.03 0.00
0 31457 8.05 0.00
0 2621 8.03 0.00
0 13107 8.02 0.00
0 13107 8.05 0.00
0 -15729 8.05 0.00
0 13107 8.03 0.00
0 13107 8.03 0.00
0 2621 8.04 0.00
0 -15729 8.03 0.00
0 -15729 8.02 0.00
0 -15729 8.04 0.00
0 13107 8.03 0.00
0 -15729 8.03 0.00
0 31457 8.03 0.00
0 -15729 8.04 0.00
0 13107 8.03 0.00
0 -15729 8.03 0.00
0 -15729 8.03 0.00
0 -15729 8.02 0.00
0 -15729 8.03 0.00
0 20972 8.04 0.00
0 -15729 8.03 0.00
0 31457 8.03 0.00
0 31457 8.02 0.00
0 -5243 8.03 0.00
0 -15729 8.07 0.00
0 2621 8.03 0.00
0 -15729 8.04 0.00
0 -15729 8.01 0.00
0 13107 8.03 0.00
0 -15729 8.02 0.00
0 13107 8.02 0.00
0 20972 8.04 0.00
0 2621 8.04 0.00
0 2621 8.01 0.00
0 31457 8.02 0.00
0 -15729 8.01 0.00
0 13107 8.06 0.00
0 -15729 8.02 0.00
0 2621 8.05 0.00
0 -15729 8.01 0.00
0 2621 8.02 0.00
0 31457 8.03 0.00
0 2621 8.03 0.00
0 2621 8.03 0.00
0 -15729 8.03 0.00
0 31457 8.03 0.00
0 31457 8.03 0.00
0 -15729 8.03 0.00
0 31457 8.03 0.00
0 -15729 8.04 0.00
0 2621 8.02 0.00
0 2621 8.04 0.00
0 2621 8.03 0.00
0 2621 8.04 0.00
0 -15729 8.02 0.00
0 -15729 8.04 0.00
0 -15729 8.01 0.00
0 -15729 8.05 0.00
0 2621 8.04 0.00
0 2621 8.04 0.00
0 13107 8.03 0.00
0 31457 8.03 0.00
0 -15729 8.03 0.00
0 -15729 8.04 0.00
0 -15729 8.04 0.00
0 31457 8.03 0.00
0 -15729 8.04 0.00
0 31457 8.03 0.00
0 -15729 8.03 0.00
0 31457 8.03 0.00
0 20972 8.04 0.00
0 31457 8.06 0.00
0 -15729 8.03 0.00
0 2621 8.03 0.00
0 2621 8.04 0.00
0 2621 8.03 0.00
10 2621 8.03 0.00
