 Hall Sensors: 713 		 Accel: -1.84 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.53
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.56
ESC: 0 Hall Sensors: 713 		 Accel: -1.84 9.55
ESC: 0 Hall Sensors: 713 		 Accel: -1.85 9.54
ESC: 3 Hall Sensors: -13107 		 Accel: 9.55 0.00
ESC: 5 Hall Sensors: -2621 		 Accel: 9.53 0.00
ESC: 7 Hall Sensors: 15729 		 Accel: 9.55 0.00
ESC: 9 Hall Sensors: -13107 		 Accel: 9.55 0.00
ESC: 12 Hall Sensors: -31457 		 Accel: 9.54 0.00
ESC: 16 Hall Sensors: 15729 		 Accel: 9.54 0.00
ESC: 21 Hall Sensors: 15729 		 Accel: 9.54 0.00
ESC: 24 Hall Sensors: -31457 		 Accel: 9.54 0.00
ESC: 28 Hall Sensors: -20972 		 Accel: 9.55 0.00
ESC: 28 Hall Sensors: -31457 		 Accel: 9.55 0.00
ESC: 28 Hall Sensors: -2621 		 Accel: 9.54 0.00
ESC: 28 Hall Sensors: -31457 		 Accel: 9.56 0.00
ESC: 28 Hall Sensors: 15729 		 Accel: 8.23 0.00
ESC: 28 Hall Sensors: 10486 		 Accel: 8.56 0.00
ESC: 28 Hall Sensors: -26214 		 Accel: 9.25 0.00
ESC: 28 Hall Sensors: -10486 		 Accel: 10.15 0.00
ESC: 28 Hall Sensors: 28836 		 Accel: 9.99 0.00
ESC: 28 Hall Sensors: -23593 		 Accel: 10.99 0.00
ESC: 28 Hall Sensors: -15729 		 Accel: 9.79 0.00
ESC: 28 Hall Sensors: 13107 		 Accel: 0.00 0.00
ESC: 28 Hall Sensors: 31457 		 Accel: 0.00 0.00
ESC: 28 Hall Sensors: 755 		 Accel: 0.00 0.00
ESC: 28 Hall Sensors: 28836 		 Accel: 9.53 0.00
ESC: 28 Hall Sensors: -31457 		 Accel: 11.26 0.00
ESC: 28 Hall Sensors: -10486 		 Accel: 9.47 0.00
ESC: 28 Hall Sensors: -23593 		 Accel: 10.93 0.00
ESC: 28 Hall Sensors: 31457 		 Accel: 10.29 0.00
ESC: 28 Hall Sensors: 26214 		 Accel: 7.88 0.00
ESC: 28 Hall Sensors: 13107 		 Accel: 9.51 0.00
ESC: 28 Hall Sensors: -28836 		 Accel: 8.88 0.00
ESC: 29 Hall Sensors: 13107 		 Accel: 9.50 0.00
ESC: 32 Hall Sensors: 26214 		 Accel: 8.09 0.00
ESC: 35 Hall Sensors: -18350 		 Accel: 9.23 -1.21
ESC: 40 Hall Sensors: -31457 		 Accel: 0.00 0.00
ESC: 44 Hall Sensors: -26214 		 Accel: 9.79 0.00
ESC: 49 Hall Sensors: 7864 		 Accel: -2.27 10.33
ESC: 52 Hall Sensors: 694 		 Accel: 0.00 0.00
ESC: 53 Hall Sensors: -18350 		 Accel: 0.00 0.00
ESC: 53 Hall Sensors: 23593 		 Accel: 8.64 0.00
ESC: 53 Hall Sensors: 672 		 Accel: 0.00 0.00
ESC: 53 Hall Sensors: -7864 		 Accel: 7.18 0.00
ESC: 53 Hall Sensors: 2621 		 Accel: 8.03 0.00
ESC: 53 Hall Sensors: -10486 		 Accel: 8.76 0.00
ESC: 53 Hall Sensors: 767 		 Accel: 0.00 0.00
ESC: 53 Hall Sensors: -10486 		 Accel: 7.89 0.00
ESC: 53 Hall Sensors: 23593 		 Accel: 7.09 0.00
ESC: 53 Hall Sensors: 23593 		 Accel: 0.00 0.00
ESC: 53 Hall Sensors: 745 		 Accel: 0.00 0.00
ESC: 53 Hall Sensors: -7864 		 Accel: 7.73 0.00
ESC: 53 Hall Sensors: -10486 		 Accel: 8.08 0.00
ESC: 53 Hall Sensors: 740 		 Accel: 0.00 0.00
ESC: 53 Hall Sensors: -18350 		 Accel: 5.57 0.00
ESC: 53 Hall Sensors: -15729 		 Accel: 4.45 0.00
ESC: 53 Hall Sensors: -15729 		 Accel: 8.35 0.00
ESC: 53 Hall Sensors: 753 		 Accel: -0.26 7.67
ESC: 53 Hall Sensors: 766 		 Accel: -1.70 6.76
ESC: 53 Hall Sensors: 768 		 Accel: 1.14 7.25
ESC: 53 Hall Sensors: 769 		 Accel: 3.21 9.04
ESC: 53 Hall Sensors: 770 		 Accel: 0.79 0.00
ESC: 53 Hall Sensors: 767 		 Accel: 0.43 10.75
ESC: 53 Hall Sensors: 752 		 Accel: -0.93 0.00
ESC: 53 Hall Sensors: 0 		 Accel: 0.00 0.00
ESC: 53 Hall Sensors: 0 		 Accel: 10.75 0.00
ESC: 53 Hall Sensors: -5243 		 Accel: 8.22 0.00
ESC: 53 Hall Sensors: -10486 		 Accel: 9.35 0.00
ESC: 53 Hall Sensors: -28836 		 Accel: 4.23 0.00
ESC: 53 Hall Sensors: -15729 		 Accel: 0.00 0.00
ESC: 53 Hall Sensors: 15729 		 Accel: 7.63 0.00
ESC: 53 Hall Sensors: 769 		 Accel: 0.00 0.00
ESC: 53 Hall Sensors: 15729 		 Accel: 0.00 0.00
ESC: 53 Hall Sensors: 5243 		 Accel: 0.00 0.00
ESC: 53 Hall Sensors: -18350 		 Accel: 9.12 0.00
ESC: 53 Hall Sensors: 18350 		 Accel: 0.00 0.00
ESC: 53 Hall Sensors: 748 		 Accel: 1.94 7.25
ESC: 53 Hall Sensors: 722 		 Accel: -1.63 8.65
ESC: 54 Hall Sensors: 714 		 Accel: 0.00 0.00
ESC: 64 Hall Sensors: -31457 		 Accel: 0.00 0.00
ESC: 64 Hall Sensors: 10486 		 Accel: 5.73 0.00
ESC: 64 Hall Sensors: -28836 		 Accel: 6.10 0.00
ESC: 64 Hall Sensors: -10486 		 Accel: 9.31 0.00
ESC: 64 Hall Sensors: 13107 		 Accel: 6.37 0.00
ESC: 64 Hall Sensors: 20972 		 Accel: 3.99 0.00
ESC: 64 Hall Sensors: 13107 		 Accel: 6.10 0.00
ESC: 64 Hall Sensors: 741 		 Accel: 0.00 0.00
ESC: 65 Hall Sensors: 7864 		 Accel: 0.00 1.43
ESC: 66 Hall Sensors: -23593 		 Accel: -0.07 7.82
ESC: 81 Hall Sensors: 13107 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: -10486 		 Accel: 9.92 0.00
ESC: 81 Hall Sensors: 5243 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 720 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: -15729 		 Accel: 3.16 0.00
ESC: 81 Hall Sensors: 502 		 Accel: 1.68 1.09
ESC: 81 Hall Sensors: 500 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: -13107 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: -28836 		 Accel: 6.13 0.00
ESC: 81 Hall Sensors: 767 		 Accel: -1.37 6.34
ESC: 81 Hall Sensors: 763 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 2621 		 Accel: 4.31 0.00
ESC: 81 Hall Sensors: -10486 		 Accel: 1.88 0.00
ESC: 81 Hall Sensors: -20972 		 Accel: 6.53 0.00
ESC: 81 Hall Sensors: 0 		 Accel: 4.50 0.00
ESC: 81 Hall Sensors: 7864 		 Accel: 6.07 0.00
ESC: 81 Hall Sensors: 31457 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: -18350 		 Accel: 4.37 0.00
ESC: 81 Hall Sensors: 31457 		 Accel: -0.46 0.00
ESC: 81 Hall Sensors: -15729 		 Accel: 2.32 0.00
ESC: 81 Hall Sensors: 0 		 Accel: 3.60 0.00
ESC: 81 Hall Sensors: 26214 		 Accel: 8.53 0.00
ESC: 81 Hall Sensors: -13107 		 Accel: 5.88 0.00
ESC: 81 Hall Sensors: 2621 		 Accel: 1.95 0.00
ESC: 81 Hall Sensors: 7864 		 Accel: 1.82 0.00
ESC: 81 Hall Sensors: 10486 		 Accel: -2.05 0.00
ESC: 81 Hall Sensors: 670 		 Accel: -1.50 4.35
ESC: 81 Hall Sensors: 630 		 Accel: 0.56 3.69
ESC: 81 Hall Sensors: 584 		 Accel: 2.26 6.27
ESC: 81 Hall Sensors: 739 		 Accel: -0.53 6.19
ESC: 81 Hall Sensors: 765 		 Accel: -1.59 3.13
ESC: 81 Hall Sensors: 769 		 Accel: 2.41 6.77
ESC: 81 Hall Sensors: 768 		 Accel: 2.25 -0.65
ESC: 81 Hall Sensors: 763 		 Accel: 6.75 -1.55
ESC: 81 Hall Sensors: 746 		 Accel: -0.64 4.75
ESC: 81 Hall Sensors: 746 		 Accel: -1.17 3.15
ESC: 81 Hall Sensors: 503 		 Accel: 1.45 3.33
ESC: 81 Hall Sensors: 13107 		 Accel: 3.24 0.00
ESC: 81 Hall Sensors: 769 		 Accel: -1.88 0.00
ESC: 81 Hall Sensors: 13107 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 18350 		 Accel: 0.17 0.00
ESC: 81 Hall Sensors: 7864 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 5243 		 Accel: 0.29 0.00
ESC: 81 Hall Sensors: 7864 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 31457 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 2621 		 Accel: 3.62 0.00
ESC: 81 Hall Sensors: 20972 		 Accel: 5.99 0.00
ESC: 81 Hall Sensors: 10486 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: -26214 		 Accel: 4.26 0.00
ESC: 81 Hall Sensors: 512 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: -28836 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 20972 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 15729 		 Accel: 0.00 -1.26
ESC: 81 Hall Sensors: 28836 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: -2621 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: -13107 		 Accel: 2.76 0.00
ESC: 81 Hall Sensors: 716 		 Accel: -2.50 5.01
ESC: 81 Hall Sensors: 867 		 Accel: -3.82 5.81
ESC: 81 Hall Sensors: 10486 		 Accel: 6.40 0.00
ESC: 81 Hall Sensors: -5243 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 26214 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 5243 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 18350 		 Accel: 5.87 0.00
ESC: 81 Hall Sensors: 690 		 Accel: -1.51 0.00
ESC: 81 Hall Sensors: 23593 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 766 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: -10486 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: -26214 		 Accel: -1.78 0.00
ESC: 81 Hall Sensors: 20972 		 Accel: 8.73 0.00
ESC: 81 Hall Sensors: 20972 		 Accel: 8.84 0.00
ESC: 81 Hall Sensors: 7864 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: -7864 		 Accel: 2.73 0.00
ESC: 81 Hall Sensors: 7864 		 Accel: 6.90 0.00
ESC: 81 Hall Sensors: -23593 		 Accel: -2.17 0.00
ESC: 81 Hall Sensors: -20972 		 Accel: 4.87 0.00
ESC: 81 Hall Sensors: 731 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: -20972 		 Accel: 2.86 0.00
ESC: 81 Hall Sensors: 13107 		 Accel: 7.04 0.00
ESC: 81 Hall Sensors: -15729 		 Accel: -1.92 0.00
ESC: 81 Hall Sensors: -31457 		 Accel: 6.66 0.00
ESC: 81 Hall Sensors: 2621 		 Accel: 3.80 0.00
ESC: 81 Hall Sensors: -31457 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 31457 		 Accel: 2.97 0.00
ESC: 81 Hall Sensors: 754 		 Accel: -0.46 4.07
ESC: 81 Hall Sensors: 683 		 Accel: 2.34 2.43
ESC: 81 Hall Sensors: 464 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 23593 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: -10486 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 769 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: -18350 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: -20972 		 Accel: 4.62 0.00
ESC: 81 Hall Sensors: 23593 		 Accel: 8.00 0.00
ESC: 81 Hall Sensors: 2621 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 666 		 Accel: 1.75 0.00
ESC: 81 Hall Sensors: -23593 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 766 		 Accel: 0.00 0.00
ESC: 81 Hall Sensors: 13107 		 Accel: 0.00 0.00
ESC: 82 Hall Sensors: -28836 		 Accel: 0.00 0.00
ESC: 85 Hall Sensors: 692 		 Accel: 0.00 0.00
ESC: 85 Hall Sensors: -13107 		 Accel: 0.00 0.00
ESC: 85 Hall Sensors: -10486 		 Accel: 4.80 0.00
ESC: 85 Hall Sensors: 769 		 Accel: 0.00 0.00
ESC: 85 Hall Sensors: 13107 		 Accel: -2.23 0.00
ESC: 85 Hall Sensors: 760 		 Accel: 0.00 0.00
ESC: 85 Hall Sensors: 856 		 Accel: 0.00 0.00
ESC: 85 Hall Sensors: -10486 		 Accel: 0.00 0.00
ESC: 85 Hall Sensors: -23593 		 Accel: 0.00 0.00
ESC: 85 Hall Sensors: -15729 		 Accel: 0.00 0.00
ESC: 86 Hall Sensors: 7864 		 Accel: -0.86 0.00
ESC: 87 Hall Sensors: -15729 		 Accel: 2.65 0.00
ESC: 87 Hall Sensors: -28836 		 Accel: 0.00 0.00
ESC: 87 Hall Sensors: 752 		 Accel: 0.00 0.00
ESC: 87 Hall Sensors: -20972 		 Accel: 0.00 0.00
ESC: 87 Hall Sensors: 769 		 Accel: 0.00 0.00
ESC: 87 Hall Sensors: -18350 		 Accel: -0.14 0.00
ESC: 87 Hall Sensors: 768 		 Accel: 3.41 3.33
ESC: 88 Hall Sensors: 755 		 Accel: 6.00 0.00
ESC: 91 Hall Sensors: 709 		 Accel: -2.40 0.00
ESC: 90 Hall Sensors: 769 		 Accel: 0.00 0.00
ESC: 90 Hall Sensors: -28836 		 Accel: 0.00 0.00
ESC: 90 Hall Sensors: -23593 		 Accel: 1.88 0.00
