deg hall1 accelX accelY
0 0 9.50 0.00
0 0 9.53 0.00
0 18350 9.53 0.00
0 0 9.51 0.00
0 0 9.52 0.00
0 -23593 9.50 0.00
0 0 9.52 0.00
0 -18350 9.53 0.00
0 -18350 9.51 0.00
0 -23593 9.53 0.00
0 0 9.51 0.00
0 -23593 9.52 0.00
0 18350 9.52 0.00
0 0 9.51 0.00
0 -23593 9.52 0.00
0 0 9.52 0.00
0 0 9.50 0.00
0 18350 9.50 0.00
0 18350 9.50 0.00
0 -23593 9.53 0.00
0 0 9.50 0.00
0 -23593 9.53 0.00
0 -18350 9.51 0.00
0 -23593 9.52 0.00
0 -23593 9.53 0.00
0 0 9.50 0.00
0 18350 9.51 0.00
0 -23593 9.51 0.00
0 0 9.49 0.00
0 0 9.53 0.00
0 -23593 9.52 0.00
0 -23593 9.52 0.00
0 18350 9.51 0.00
0 0 9.51 0.00
0 0 9.52 0.00
0 18350 9.50 0.00
0 -23593 9.51 0.00
0 18350 9.51 0.00
0 28836 9.52 0.00
0 0 9.50 0.00
0 -23593 9.52 0.00
0 18350 9.52 0.00
0 18350 9.51 0.00
0 28836 9.50 0.00
0 -23593 9.52 0.00
0 -23593 9.51 0.00
0 -23593 9.50 0.00
0 -23593 9.51 0.00
0 0 9.51 0.00
0 0 9.50 0.00
0 -23593 9.49 0.00
0 -18350 9.53 0.00
0 -18350 9.54 0.00
0 18350 9.51 0.00
0 0 9.52 0.00
0 0 9.51 0.00
0 -23593 9.51 0.00
0 -23593 9.51 0.00
0 -23593 9.53 0.00
0 0 9.50 0.00
0 -23593 9.50 0.00
0 -23593 9.53 0.00
0 0 9.51 0.00
0 18350 9.51 0.00
0 -23593 9.50 0.00
0 0 9.51 0.00
0 -23593 9.50 0.00
0 -23593 9.52 0.00
0 28836 9.52 0.00
0 -23593 9.52 0.00
0 -23593 9.50 0.00
0 -23593 9.52 0.00
0 -23593 9.51 0.00
0 18350 9.50 0.00
0 -18350 9.52 0.00
0 0 9.50 0.00
0 18350 9.51 0.00
0 -23593 9.51 0.00
0 0 9.51 0.00
0 -23593 9.53 0.00
0 -23593 9.49 0.00
0 0 9.53 0.00
0 0 9.50 0.00
0 0 9.52 0.00
0 -23593 9.52 0.00
0 18350 9.52 0.00
0 0 9.51 0.00
0 -18350 9.54 0.00
0 -18350 9.51 0.00
0 28836 9.52 0.00
0 -18350 9.50 0.00
0 18350 9.51 0.00
0 28836 9.51 0.00
0 0 9.53 0.00
0 -18350 9.53 0.00
0 -23593 9.51 0.00
0 18350 9.51 0.00
0 18350 9.51 0.00
0 0 9.52 0.00
0 -18350 9.50 0.00
0 -18350 9.52 0.00
0 -23593 9.53 0.00
0 -18350 9.52 0.00
0 10486 9.51 0.00
0 -23593 9.52 0.00
0 18350 9.51 0.00
0 0 9.51 0.00
0 -18350 9.50 0.00
0 -5243 9.50 0.00
0 -18350 9.50 0.00
0 -23593 9.52 0.00
0 -5243 9.52 0.00
0 -23593 9.50 0.00
0 0 9.51 0.00
0 -23593 9.51 0.00
0 -23593 9.53 0.00
0 0 9.51 0.00
0 -18350 9.51 0.00
0 0 9.51 0.00
0 18350 9.52 0.00
0 0 9.51 0.00
0 -23593 9.51 0.00
0 -5243 9.52 0.00
0 -18350 9.52 0.00
0 0 9.52 0.00
0 0 9.52 0.00
0 28836 9.50 0.00
